pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Biological Oxidations R-HSA-211859,Reactome,14,198,4.25,9.6,1.84,0.03263607315653121,"CYP2A13, CYP2A6, CYP2A7, CYP2C18, CYP2C19, CYP2C8, CYP2C9, GLYATL2, GSTM1, GSTM2, GSTM5, UGT2B10, UGT2B28, UGT2B7",0.13900265171714715
Phase I - Functionalization Of Compounds R-HSA-211945,Reactome,7,94,4.48,4.7,1.84,0.03264456214569365,"CYP2A13, CYP2A6, CYP2A7, CYP2C18, CYP2C19, CYP2C8, CYP2C9",0.13900265171714715
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,6,86,4.2,3.58,1.82,0.03436876903572772,"CD1E, CD200R1, CLEC2D, KLRF1, LAIR2, SIGLEC11",0.14177117227237684
Sensory Perception R-HSA-9709957,Reactome,28,546,3.08,12.17,1.8,0.03592621495882156,"AKR1C4, OR10A7, OR14K1, OR1D5, OR1L1, OR1M1, OR2G6, OR2T11, OR2T27, OR2Z1, OR4A15, OR4C15, OR4S1, OR51D1, OR51E1, OR51V1, OR52B6, OR56A1, OR56B4, OR5B21, OR5M11, OR6F1, OR6T1, OR7D2, OR8K5, RDH16, TAS2R30, TAS2R5",0.14370485983528625
Biosynthesis Of Specialized Proresolving Mediators (SPMs) R-HSA-9018678,Reactome,2,17,7.08,1.88,1.69,0.04582292463425056,"CYP2C8, CYP2C9",0.17698735281596936
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome,7,97,4.34,5.4,1.68,0.04692846476181006,"GLYATL2, GSTM1, GSTM2, GSTM5, UGT2B10, UGT2B28, UGT2B7",0.17698735281596936
Chemical carcinogenesis,KEGG,14,236,3.57,10.1,1.55,0.06106396808286854,"CYP2A13, CYP2A6, CYP2A7, CYP2C18, CYP2C19, CYP2C8, CYP2C9, GSTM1, GSTM2, GSTM5, HSD11B1L, UGT2B10, UGT2B28, UGT2B7",0.21801292621451518
Glutathione Conjugation R-HSA-156590,Reactome,3,33,5.47,2.96,1.55,0.06110968386315955,"GSTM1, GSTM2, GSTM5",0.21801292621451518
Beta Defensins R-HSA-1461957,Reactome,4,32,7.52,7.21,1.53,0.06301881300936663,"DEFB112, DEFB114, DEFB127, DEFB132",0.21890745571674722
Serotonergic synapse,KEGG,7,109,3.86,5.47,1.51,0.065862110182089,"CYP2C18, CYP2C19, CYP2C8, CYP2C9, CYP2D6, HTR3C, HTR3E",0.222917911385532
Porphyrin and chlorophyll metabolism,KEGG,3,37,4.88,2.81,1.45,0.07377101922045746,"UGT2B10, UGT2B28, UGT2B7",0.24344436342750964
"Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841",Reactome,3,41,4.4,2.71,1.35,0.08855399551756232,"ARSD, ARSF, ARSH",0.2851006684955665
Biosynthesis of unsaturated fatty acids,KEGG,2,27,4.45,1.44,1.32,0.09334242789572833,"ACOT2, SCD",0.2933619162437176
Interferon Alpha/Beta Signaling R-HSA-909733,Reactome,3,50,3.61,2.16,1.26,0.10440683963221153,"ADAR, BST2, IFI6",0.32050471701050987
Glycosphingolipid Metabolism R-HSA-1660662,Reactome,3,45,4.01,2.71,1.24,0.10723475080292133,"ARSD, ARSF, ARSH",0.321704252408764
Arachidonic Acid Metabolism R-HSA-2142753,Reactome,3,54,3.34,2.59,1.06,0.14442884824896357,"CYP2C19, CYP2C8, CYP2C9",0.4236579548636265
Arachidonic acid metabolism,KEGG,3,56,3.22,2.59,1.02,0.1538719566792796,"CYP2C19, CYP2C8, CYP2C9",0.44154561481880233
Glutathione metabolism,KEGG,3,54,3.34,2.96,0.99,0.1604331804806426,"GSTM1, GSTM2, GSTM5",0.45057829411584727
Fatty acyl-CoA Biosynthesis R-HSA-75105,Reactome,2,37,3.25,1.47,0.94,0.17408330445881964,"ACSBG2, SCD",0.478729087261754
Taste transduction,KEGG,4,80,3.01,4.72,0.88,0.19065561033803408,"HTR3C, HTR3E, TAS2R30, TAS2R5",0.5136028686657245
Fatty Acid Metabolism R-HSA-8978868,Reactome,6,168,2.15,4.07,0.81,0.20777788996716245,"ACOT2, ACSBG2, CYP2C19, CYP2C8, CYP2C9, SCD",0.5485336295133089
Pancreatic secretion,KEGG,4,101,2.38,3.43,0.77,0.22126897349552493,"CLCA4, PRSS1, PRSS2, PRSS3",0.5726961666942999
ABC transporters,KEGG,2,44,2.73,1.87,0.66,0.25339755105915995,"ABCB5, ABCC12",0.635272159268009
Ovarian steroidogenesis,KEGG,2,48,2.51,1.47,0.65,0.2566343007123325,"ACOT2, HSD3B1",0.635272159268009
Bile secretion,KEGG,3,80,2.26,2.81,0.61,0.2702131641261667,"UGT2B10, UGT2B28, UGT2B7",0.635272159268009
Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,Reactome,2,37,3.25,3.48,0.61,0.2708848243482541,"TAS2R30, TAS2R5",0.635272159268009
Interferon Signaling R-HSA-913531,Reactome,5,165,1.82,3.21,0.6,0.2742953715252613,"ADAR, BST2, GBP1, IFI6, RNASE7",0.635272159268009
Formation Of Cornified Envelope R-HSA-6809371,Reactome,2,42,2.86,2.61,0.6,0.27432206877482207,"CDSN, SPINK5",0.635272159268009
Interferon Alpha Response,Hallmark,3,89,2.03,2.22,0.57,0.28456036802393414,"ADAR, BST2, SP110",0.6476201479165398
Sphingolipid Metabolism R-HSA-428157,Reactome,3,87,2.07,2.71,0.54,0.2954225192570882,"ARSD, ARSF, ARSH",0.660945297320943
"Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207",Reactome,2,39,3.08,5.37,0.46,0.3224658923940539,"TAS2R30, TAS2R5",0.6916960753443894
Keratinization R-HSA-6805567,Reactome,4,107,2.25,8.25,0.45,0.3247253166844487,"CDSN, KRT37, KRTAP25-1, SPINK5",0.6916960753443894
Fluid shear stress and atherosclerosis,KEGG,4,132,1.82,3.86,0.45,0.3248875505405465,"CALML6, GSTM1, GSTM2, GSTM5",0.6916960753443894
Lipid and atherosclerosis,KEGG,5,189,1.59,3.62,0.41,0.34146346810729333,"CALML6, CYP2A6, CYP2A7, CYP2C8, CYP2C9",0.710279281430006
Reproduction R-HSA-1474165,Reactome,3,102,1.77,2.43,0.4,0.344400669721331,"ADAM20, CATSPER4, OVGP1",0.710279281430006
Protein digestion and absorption,KEGG,3,100,1.8,2.9,0.39,0.34975873706780597,"PRSS1, PRSS2, PRSS3",0.710279281430006
Sensory Perception Of Taste R-HSA-9717189,Reactome,2,45,2.67,5.88,0.36,0.35875571043791404,"TAS2R30, TAS2R5",0.712075575342471
Influenza A,KEGG,4,150,1.6,3.31,0.35,0.36143229960564816,"ADAR, PRSS1, PRSS2, PRSS3",0.712075575342471
Oocyte meiosis,KEGG,3,113,1.6,2.6,0.28,0.38800506374279375,"CALML6, SPDYC, SPDYE4",0.7491910719305094
Renin secretion,KEGG,2,68,1.77,1.63,0.28,0.3916226057818572,"CALML6, CLCA4",0.7491910719305094
PPAR signaling pathway,KEGG,2,72,1.67,1.47,0.23,0.4088803615430866,"ACSBG2, SCD",0.7710315389098205
Cholesterol Homeostasis,Hallmark,2,74,1.63,1.68,0.19,0.42483135467511407,"GSTM2, SCD",0.7898273072833106
Salivary secretion,KEGG,2,79,1.52,1.8,0.12,0.451175571451291,"CALML6, CST3",0.798499912480497
IL-6/JAK/STAT3 Signaling,Hallmark,2,84,1.43,1.97,0.06,0.4748978085997736,"CRLF2, CSF2RA",0.798499912480497
Hepatocellular carcinoma,KEGG,3,145,1.24,2.96,0.03,0.4865421852001017,"GSTM1, GSTM2, GSTM5",0.798499912480497
Metabolism Of Steroids R-HSA-8957322,Reactome,3,147,1.23,2.37,0.02,0.49064053163344773,"AKR1C4, HSD3B1, SCD",0.798499912480497
NOD-like receptor signaling pathway,KEGG,3,147,1.23,2.65,0.02,0.4911590515562654,"BIRC2, GBP1, GBP3",0.798499912480497
Progesterone-mediated oocyte maturation,KEGG,2,90,1.34,1.67,0.0,0.49910845278122923,"SPDYC, SPDYE4",0.798499912480497
Hematopoietic cell lineage,KEGG,2,90,1.34,2.11,0.0,0.49920651963165197,"CD1E, CSF2RA",0.798499912480497
Visual Phototransduction R-HSA-2187338,Reactome,2,91,1.32,2.39,-0.01,0.5027845877587924,"AKR1C4, RDH16",0.798499912480497
Neutrophil Degranulation R-HSA-6798695,Reactome,7,427,0.99,4.45,-0.02,0.5072678441486509,"A1BG, BST2, CST3, MS4A3, PRSS2, PRSS3, SERPINA3",0.798499912480497
Metabolism Of Lipids R-HSA-556833,Reactome,12,713,1.01,8.2,-0.04,0.5148616203786762,"ACOT2, ACSBG2, AKR1C4, ARSD, ARSF, ARSH, CYP2C19, CYP2C8, CYP2C9, HSD3B1, PNPLA5, SCD",0.798499912480497
Aldosterone synthesis and secretion,KEGG,2,96,1.25,1.9,-0.06,0.5223052690574004,"CALML6, HSD3B1",0.798499912480497
tRNA Processing R-HSA-72306,Reactome,2,99,1.21,2.23,-0.08,0.5307572315115159,"RNASE7, TRMT61B",0.798499912480497
TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541,Reactome,2,98,1.23,1.74,-0.08,0.5309928068312392,"BIRC2, TNFRSF6B",0.798499912480497
Kaposi sarcoma-associated herpesvirus infection,KEGG,3,166,1.09,2.86,-0.09,0.5374341016230304,"CALML6, CD200R1, CLEC2B",0.798499912480497
Estrogen signaling pathway,KEGG,2,135,0.89,2.16,-0.11,0.544804469687515,"CALML6, KRT37",0.798499912480497
Leukocyte transendothelial migration,KEGG,2,107,1.12,2.13,-0.15,0.5576646292871121,"CD99L2, MYL5",0.798499912480497
Degradation Of Extracellular Matrix R-HSA-1474228,Reactome,2,106,1.13,1.67,-0.15,0.5614502543803325,"CAPN14, PRSS2",0.798499912480497
Immune System R-HSA-168256,Reactome,26,1760,0.89,15.68,-0.16,0.5649729238879143,"A1BG, ADAR, BIRC2, BST2, BTNL2, CD1E, CD200R1, CLEC2D, CRLF2, CSF2RA, CST3, DEFB112, DEFB114, DEFB127, DEFB132, GBP1, IFI6, KLRF1, LAIR2, MS4A3, PRSS2, PRSS3, RNASE7, SERPINA3, SIGLEC11, TNFRSF6B",0.798499912480497
Interferon Gamma Response,Hallmark,3,180,1.0,2.93,-0.17,0.5670848025099156,"ADAR, BST2, SP110",0.798499912480497
Innate Immune System R-HSA-168249,Reactome,13,918,0.85,8.2,-0.21,0.5834068551580418,"A1BG, BIRC2, BST2, CST3, DEFB112, DEFB114, DEFB127, DEFB132, MS4A3, PRSS2, PRSS3, RNASE7, SERPINA3",0.798499912480497
Platelet Degranulation R-HSA-114608,Reactome,2,113,1.06,1.76,-0.21,0.5836258089094983,"A1BG, SERPINA3",0.798499912480497
JAK-STAT signaling pathway,KEGG,2,148,0.81,1.97,-0.21,0.5840216389364364,"CRLF2, CSF2RA",0.798499912480497
Fatty Acid Metabolism,Hallmark,2,154,0.78,2.62,-0.22,0.5867784151399221,"ACOT2, RDH16",0.798499912480497
Cytokine Signaling In Immune System R-HSA-1280215,Reactome,9,650,0.83,5.6,-0.24,0.594677570639034,"ADAR, BIRC2, BST2, CRLF2, CSF2RA, GBP1, IFI6, RNASE7, TNFRSF6B",0.798499912480497
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,Reactome,2,118,1.02,1.94,-0.24,0.5947421076929028,"A1BG, SERPINA3",0.798499912480497
Metabolism R-HSA-1430728,Reactome,27,1967,0.83,18.4,-0.25,0.5993408872734426,"ACOT2, ACSBG2, AKR1C4, ARSD, ARSF, ARSH, COA1, CYP2A13, CYP2A6, CYP2A7, CYP2C18, CYP2C19, CYP2C8, CYP2C9, ENTPD6, GLYATL2, GSTM1, GSTM2, GSTM5, HSD3B1, PNPLA5, PRSS3, RNASE7, SCD, UGT2B10, UGT2B28, UGT2B7",0.798499912480497
SLC-mediated Transmembrane Transport R-HSA-425407,Reactome,3,247,0.73,3.5,-0.3,0.6167693009414109,"LCN1, SLC47A2, SLC5A4",0.798499912480497
Herpes simplex virus 1 infection,KEGG,2,154,0.78,1.39,-0.3,0.618542947689305,"BIRC2, BST2",0.798499912480497
Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,Reactome,2,178,0.68,3.4,-0.31,0.620493094448857,"HTR3C, HTR3E",0.798499912480497
Pathways in cancer,KEGG,6,478,0.75,5.2,-0.31,0.6219302981828781,"BIRC2, CALML6, CSF2RA, GSTM1, GSTM2, GSTM5",0.798499912480497
KRAS Signaling Up,Hallmark,2,189,0.64,3.41,-0.35,0.63834862348927,"CSF2RA, SERPINA3",0.798499912480497
Focal adhesion,KEGG,2,179,0.67,2.51,-0.36,0.641491911758056,"BIRC2, MYL5",0.798499912480497
Transcriptional misregulation in cancer,KEGG,2,174,0.69,2.13,-0.36,0.6422991299334383,"BIRC2, PTCRA",0.798499912480497
GPCR Ligand Binding R-HSA-500792,Reactome,4,415,0.58,8.74,-0.38,0.648767553027795,"CD200R1, OXER1, TAS2R30, TAS2R5",0.798499912480497
Human immunodeficiency virus 1 infection,KEGG,2,183,0.66,2.31,-0.4,0.655201958229959,"BST2, CALML6",0.798499912480497
Cytokine-cytokine receptor interaction,KEGG,3,267,0.68,2.85,-0.41,0.6596947523774781,"CRLF2, CSF2RA, TNFRSF6B",0.798499912480497
Metabolism Of Vitamins And Cofactors R-HSA-196854,Reactome,2,174,0.69,1.67,-0.41,0.6599139418377202,"AKR1C4, PRSS3",0.798499912480497
Neuroactive ligand-receptor interaction,KEGG,3,334,0.54,6.7,-0.43,0.6653233687171398,"PRSS1, PRSS2, PRSS3",0.798499912480497
Extracellular Matrix Organization R-HSA-1474244,Reactome,3,273,0.66,2.92,-0.43,0.6666138470561545,"CAPN14, FBN3, PRSS2",0.798499912480497
G Alpha (I) Signaling Events R-HSA-418594,Reactome,3,300,0.6,4.17,-0.44,0.6714658354949634,"OXER1, TAS2R30, TAS2R5",0.798499912480497
Transmission Across Chemical Synapses R-HSA-112315,Reactome,2,240,0.5,3.88,-0.51,0.6963874260942395,"HTR3C, HTR3E",0.820742323611068
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,Reactome,2,308,0.39,6.67,-0.54,0.7068198860389705,"CD200R1, OXER1",0.8256657075853461
Salmonella infection,KEGG,2,235,0.51,2.75,-0.59,0.7229493034449553,"BIRC2, MYL5",0.8320319122681592
"Platelet Activation, Signaling And Aggregation R-HSA-76002",Reactome,2,236,0.51,2.73,-0.6,0.7248762872033205,"A1BG, SERPINA3",0.8320319122681592
Adaptive Immune System R-HSA-1280218,Reactome,7,663,0.63,4.09,-0.62,0.7316658721307108,"BTNL2, CD1E, CD200R1, CLEC2D, KLRF1, LAIR2, SIGLEC11",0.8325853027694295
Signaling By Nuclear Receptors R-HSA-9006931,Reactome,2,250,0.48,2.6,-0.67,0.7477359996500247,"RDH16, SCD",0.8435995893487458
Transport Of Small Molecules R-HSA-382551,Reactome,5,680,0.44,7.69,-0.7,0.7574431113669315,"ABCB5, CLCA4, LCN1, SLC47A2, SLC5A4",0.8440910841584034
Neuronal System R-HSA-112316,Reactome,2,379,0.32,5.97,-0.72,0.7631566426455461,"HTR3C, HTR3E",0.8440910841584034
GPCR Downstream Signaling R-HSA-388396,Reactome,4,590,0.41,6.29,-0.76,0.7766623603257841,"CD200R1, OXER1, TAS2R30, TAS2R5",0.8440910841584034
Signaling By GPCR R-HSA-372790,Reactome,4,638,0.38,7.4,-0.77,0.7789952049161852,"CD200R1, OXER1, TAS2R30, TAS2R5",0.8440910841584034
Metabolism Of RNA R-HSA-8953854,Reactome,3,608,0.3,8.87,-0.77,0.780144789903979,"ADAR, RNASE7, TRMT61B",0.8440910841584034
Hemostasis R-HSA-109582,Reactome,3,517,0.35,3.72,-1.01,0.8449438801639857,"A1BG, CD99L2, SERPINA3",0.8928061308866034
Cellular Responses To Stimuli R-HSA-8953897,Reactome,2,693,0.17,8.08,-1.02,0.845948304914723,"NOX5, RNASE7",0.8928061308866034
Cellular Responses To Stress R-HSA-2262752,Reactome,2,689,0.17,7.98,-1.02,0.846352197668687,"NOX5, RNASE7",0.8928061308866034
Developmental Biology R-HSA-1266738,Reactome,4,919,0.26,8.11,-1.05,0.8541246523152344,"CDSN, KRT37, KRTAP25-1, SPINK5",0.8928061308866034
Post-translational Protein Modification R-HSA-597592,Reactome,8,1261,0.38,7.69,-1.08,0.8589877168378685,"ALPG, ARSD, ARSF, ARSH, BIRC2, CST3, DCAF5, RNASE7",0.8928061308866034
Gene Expression (Transcription) R-HSA-74160,Reactome,2,1074,0.11,11.21,-1.17,0.8795500429689119,"PRDM7, RNASE7",0.9070359818116904
Metabolism Of Proteins R-HSA-392499,Reactome,9,1745,0.31,10.0,-1.26,0.896255033318959,"ALPG, ARSD, ARSF, ARSH, BIRC2, CSF2RA, CST3, DCAF5, RNASE7",0.9170981736287022
Signaling By Interleukins R-HSA-449147,Reactome,2,433,0.28,2.1,-1.37,0.9141915484638354,"CRLF2, CSF2RA",0.9270124994551144
Signal Transduction R-HSA-162582,Reactome,9,2304,0.23,13.64,-1.41,0.9199896774895453,"BIRC2, CD200R1, CSF2RA, OXER1, PTCRA, RDH16, SCD, TAS2R30, TAS2R5",0.9270124994551144
Disease R-HSA-1643685,Reactome,2,1593,0.08,9.22,-1.67,0.9526962225976852,"CSF2RA, RNASE7",0.9526962225976852
